iter	Passed	Remaining
0	145	145377
1	146	72922
2	146	48766
3	147	36694
4	147	29449
5	148	24617
6	149	21166
7	149	18579
8	150	16571
9	151	14963
10	151	13655
11	152	12569
12	153	11649
13	154	10857
14	155	10190
15	156	9637
16	157	9119
17	158	8645
18	159	8229
19	160	7860
20	162	7590
21	163	7270
22	164	6975
23	164	6707
24	165	6464
25	168	6319
26	169	6111
27	170	5914
28	171	5736
29	172	5570
30	173	5421
31	174	5266
32	174	5120
33	175	4984
34	176	4875
35	177	4763
36	178	4647
37	179	4536
38	180	4447
39	181	4353
40	182	4274
41	183	4185
42	184	4097
43	184	4013
44	185	3936
45	186	3866
46	187	3804
47	188	3735
48	188	3667
49	189	3602
50	190	3542
51	192	3509
52	193	3452
53	193	3395
54	194	3340
55	195	3290
56	196	3243
57	197	3201
58	197	3155
59	198	3109
60	199	3064
61	199	3022
62	200	2982
63	203	2975
64	204	2936
65	204	2899
66	205	2862
67	206	2823
68	207	2795
69	208	2766
70	208	2733
71	209	2700
72	210	2668
73	211	2640
74	211	2613
75	213	2595
76	214	2571
77	215	2543
78	215	2517
79	216	2492
80	219	2488
81	220	2464
82	220	2439
83	221	2414
84	221	2389
85	223	2370
86	223	2350
87	224	2328
88	225	2306
89	226	2288
90	227	2270
91	228	2256
92	229	2238
93	230	2218
94	230	2198
95	231	2180
96	232	2162
97	233	2150
98	234	2133
99	235	2115
100	235	2098
101	236	2078
102	236	2063
103	239	2066
104	240	2051
105	241	2035
106	241	2018
107	242	2005
108	243	1993
109	245	1985
110	246	1970
111	246	1955
112	247	1940
113	247	1927
114	248	1914
115	251	1913
116	251	1900
117	252	1887
118	253	1874
119	254	1862
120	256	1860
121	257	1850
122	257	1836
123	258	1823
124	258	1811
125	259	1801
126	261	1800
127	262	1790
128	263	1779
129	264	1768
130	265	1759
131	267	1757
132	268	1747
133	268	1736
134	269	1725
135	269	1715
136	270	1706
137	272	1704
138	273	1695
139	274	1685
140	275	1675
141	276	1669
142	277	1661
143	278	1656
144	279	1646
145	279	1637
146	280	1628
147	281	1619
148	282	1611
149	284	1610
150	284	1602
151	285	1593
152	286	1584
153	286	1576
154	289	1580
155	290	1574
156	291	1566
157	293	1561
158	295	1561
159	295	1553
160	296	1545
161	297	1537
162	298	1530
163	299	1524
164	301	1526
165	302	1518
166	302	1510
167	303	1503
168	304	1497
169	305	1491
170	306	1486
171	307	1478
172	307	1471
173	308	1465
174	309	1460
175	311	1457
176	311	1450
177	312	1443
178	313	1437
179	314	1432
180	315	1428
181	316	1421
182	317	1415
183	317	1408
184	318	1403
185	319	1397
186	321	1396
187	322	1390
188	322	1384
189	323	1377
190	325	1377
191	326	1372
192	327	1367
193	327	1362
194	328	1356
195	329	1351
196	330	1346
197	331	1341
198	331	1335
199	332	1330
200	333	1324
201	333	1319
202	336	1321
203	337	1316
204	338	1311
205	338	1305
206	339	1300
207	340	1295
208	342	1295
209	343	1290
210	343	1285
211	344	1280
212	345	1275
213	346	1271
214	347	1267
215	347	1262
216	348	1257
217	349	1252
218	349	1247
219	351	1244
220	351	1240
221	352	1235
222	353	1230
223	353	1225
224	354	1221
225	355	1217
226	357	1217
227	358	1212
228	358	1207
229	359	1203
230	360	1199
231	361	1196
232	362	1192
233	362	1188
234	363	1183
235	364	1179
236	365	1175
237	366	1172
238	367	1169
239	367	1165
240	368	1160
241	369	1156
242	370	1155
243	371	1151
244	372	1147
245	372	1143
246	373	1139
247	374	1135
248	375	1132
249	376	1129
250	377	1125
251	377	1120
252	379	1120
253	382	1122
254	382	1118
255	383	1114
256	384	1110
257	385	1107
258	386	1104
259	387	1103
260	388	1100
261	389	1096
262	389	1092
263	390	1088
264	393	1091
265	394	1088
266	395	1084
267	396	1081
268	397	1079
269	398	1076
270	398	1073
271	399	1069
272	400	1066
273	401	1062
274	402	1060
275	403	1058
276	404	1054
277	404	1050
278	405	1047
279	406	1045
280	407	1042
281	408	1039
282	408	1035
283	409	1032
284	410	1029
285	411	1027
286	413	1026
287	414	1024
288	414	1020
289	415	1017
290	416	1015
291	418	1014
292	419	1011
293	419	1007
294	420	1004
295	421	1001
296	422	999
297	423	998
298	424	996
299	438	1022
300	441	1024
301	442	1023
302	444	1021
303	445	1020
304	446	1017
305	447	1013
306	447	1010
307	448	1007
308	449	1004
309	450	1001
310	450	998
311	451	995
312	454	997
313	455	996
314	456	993
315	457	990
316	458	987
317	459	984
318	459	981
319	460	979
320	461	977
321	462	974
322	463	971
323	464	968
324	465	965
325	465	962
326	466	960
327	467	958
328	468	955
329	469	952
330	470	950
331	471	948
332	472	945
333	473	943
334	473	940
335	474	937
336	475	935
337	476	933
338	477	930
339	478	927
340	478	925
341	479	923
342	481	922
343	482	919
344	483	917
345	483	914
346	484	912
347	485	909
348	486	908
349	487	905
350	488	903
351	489	901
352	490	899
353	491	896
354	492	894
355	493	892
356	494	889
357	494	887
358	495	884
359	496	882
360	496	879
361	498	879
362	499	876
363	500	874
364	501	872
365	502	870
366	504	869
367	505	867
368	505	865
369	506	862
370	507	860
371	508	858
372	509	856
373	510	854
374	511	852
375	512	849
376	513	847
377	513	845
378	515	843
379	515	841
380	516	839
381	517	836
382	517	834
383	518	832
384	519	830
385	520	828
386	521	825
387	521	823
388	523	821
389	523	819
390	526	819
391	526	817
392	527	814
393	528	812
394	529	810
395	530	808
396	531	807
397	532	805
398	533	803
399	534	801
400	534	798
401	536	797
402	538	797
403	539	795
404	540	793
405	540	791
406	542	790
407	543	787
408	544	786
409	544	783
410	545	781
411	546	779
412	548	778
413	548	776
414	550	775
415	550	773
416	551	771
417	552	769
